id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Thunderstrike Anthem,Iron Forge,metal,aggressive,0.96,180,0.32,0.45,0.08
12,Sunset Highway,Dakota Moon,country,nostalgic,0.55,95,0.58,0.68,0.82
13,Neon Pulse,Circuit Breaker,edm,energetic,0.89,128,0.76,0.94,0.12
14,Velvet Groove,Smooth Operators,r&b,romantic,0.48,85,0.72,0.81,0.38
15,Morning Meditation,Serene Strings,classical,peaceful,0.22,52,0.68,0.25,0.95
16,City Lights Flow,MC Wavelength,hip hop,confident,0.74,98,0.64,0.87,0.15
17,Island Breeze,Sunshine Collective,reggae,uplifting,0.62,88,0.82,0.76,0.65
18,Mountain Echo,Wandering Souls,folk,melancholic,0.33,70,0.42,0.51,0.91
